Url, News_Title ,Author,Publish date,Category, Body Stracture , Stracture_Summary,Image of the news ,site
https://islamonline.net/en/home/, "The smile of the Prophet (Pbuh).. facts and secrets" ,None , None , About Muhammad , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None , https://islamonline.net/wp-content/uploads/2021/06/المسجد-النبوي-1-320x180.jpg , https://islamonline.net/en/the-smile-of-the-prophet-pbuh-facts-and-secrets/
https://islamonline.net/en/home/, "Inspired by the Prophet’s Character The Prophet of Mercy: A Word Picture" , By Haya Muhammad Eid, None,About Muhammad , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None, https://islamonline.net/wp-content/uploads/2022/10/Mohammed-and-humanity--320x180.jpg , https://islamonline.net/en/the-prophet-of-mercy-a-word-picture/
https://islamonline.net/en/home/, "Inspired by Prophet Muhammad’s Life.. Reverts Do You Love Prophet Muhammad?" ,  By Diva Allott , None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a ,"I firmly believe that the love a born Muslim feels for Prophet Muhammad is vastly different to that which a revert feels, at least at the beginning of their journey as a Muslim.", https://islamonline.net/wp-content/uploads/2023/01/Prophet-Muhammad-Reverts-love.jpg , https://islamonline.net/en/inspired-by-prophet-muhammads-life-reverts-do-you-love-prophet-muhammad/ 
https://islamonline.net/en/home/, "Toward Moral Elevation The Search for a Living Islam" , By Abu Muntasir , None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None , https://islamonline.net/wp-content/uploads/2022/08/Moral-Islam-320x180.jpg , https://islamonline.net/en/toward-moral-elevation-the-search-for-a-living-islam/ 
https://islamonline.net/en/home/, "Toward Understanding Islam & Muslims Check Your Bag Before You Leave!" ,By Fouzia Hakkou,None, Discover Islam, body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None , https://islamonline.net/wp-content/uploads/2022/09/Life-journey-Muslim-320x180.jpg , https://islamonline.net/en/toward-understanding-islam-muslims-check-your-bag-before-you-leave/
https://islamonline.net/en/home/, "The Story of Quran: God’s Final Revelation (1)" ,By Aisha Stacey , None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None , https://islamonline.net/wp-content/uploads/2022/04/Quran-with-a-blue-cover--320x180.jpg , https://islamonline.net/en/the-quran-gods-final-revelation-part-1/
https://islamonline.net/en/home/," How Islam Deals with Sadness and Worry – Patience: An Important Virtue (2)" ,By Aisha Stacey , None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a , None, https://islamonline.net/wp-content/uploads/2022/12/Patience-and-growth--320x180.jpg , https://islamonline.net/en/how-islam-deals-with-sadness-and-worry-part-2-patience-an-important-virtue/
https://islamonline.net/en/home/, "Understanding Religion through Sport" ,By Ali Asadullah , None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a  , None, https://islamonline.net/wp-content/uploads/2022/10/Sport-track-religion-320x180.jpg , https://islamonline.net/en/understanding-religion-through-sport/ 
https://islamonline.net/en/home/, "Forming an Islamic Democracy" , By Sohaib N. Sultan,None , Discover Islam , body --> main --> div --> section --> div --> div --> div --> div --> div --> div --> div --> a ,None , https://islamonline.net/wp-content/uploads/2022/07/Picture-regulations--320x180.jpg , https://islamonline.net/en/forming-an-islamic-democracy/
https://thealike.com/, "The first look of the characters of the web series ‘Hiramandi’ is out" , By Sahil verma , "February 20 / 2023" , Bollywood , body --> div --> div --> div --> div --> div --> section --> div --> div --> div --> div --> div --> div --> div --> div --> article --> div --> div, None, image/gif;base64 R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw== , https://thealike.com/blog/the-first-look-of-the-characters-of-the-web-series-hiramandi-is-out/
https://thealike.com/, "Disha Patani in Karan Johar’s ‘Joddha’ Disha stormed the social media with her bold look.",by Sahil verma , February 20 / 2023 , Bollywood  , body --> div --> div --> div --> div --> div --> section --> div --> div --> div --> div --> div --> div --> div --> div --> article --> div ,None , image/gif;base64 R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw== , https://thealike.com/blog/disha-patani-in-karan-johars-joddha-disha-stormed-the-social-media-with-her-bold-look/
https://thealike.com/, "Director Devraj’s upcoming film Nusrat, Mika Singh praises Nusrat",by Sahil verma , February 20 / 2023 , Bollywood  , body --> div --> div --> div --> div --> div --> section --> div --> div --> div --> div --> div --> div --> div --> div --> article --> div , None ,  image/gif;base64 R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw== , https://thealike.com/blog/director-devrajs-upcoming-film-nusrat-mika-singh-praises-nusrat/
https://thealike.com/, " Going on a new mission in April, who will accompany ‘Pathan’?" , by Sahil verma  , "February 19 / 2023", Bollywood, body --> div --> div --> div --> div --> div --> section --> div --> div --> div --> div --> div --> div --> div --> div --> article --> div , None, image/gif;base64 R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw== , https://thealike.com/blog/going-on-a-new-mission-in-april-who-will-accompany-pathan/
https://thealike.com/, " Be beautiful in winter with these 7 benefits of beets",By Sahil verma , "February 19 / 2023" , Health, body --> div --> div --> div --> div --> div --> section --> div --> div --> div --> div --> div --> div --> div --> article --> div, "Who doesn't love rosy cool mornings, frosty air and soft sunshine. But due to cold air, the skin starts losing moisture and becomes dry and lifeless. In such situations, most of the people use different types of creams and lotions as beauty tips in winter. But it may...", image/gif;base64 R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw== , https://thealike.com/blog/be-beautiful-in-winter-with-these-7-benefits-of-beets/
https://thealike.com/, " ‘Dream Girl’ Pooja is returning after four years, what did she call ‘Pathan’?" ,by Sahil verma , "February 19/ 2023" , Bollywood , body --> div --> div --> div --> div --> div --> section --> div --> div --> div --> div --> div --> div --> div --> article --> div ,"On Feb 14, 2023 Last updated Feb 14, 2023 The Wall Bureau: Shah Rukh Khan is back on the big screen after four years. And now Mathura's 'Dream Girl' Pooja is going to return after four years. So Pathaan called Pooja and congratulated him. Pooja asked him, how..." ,  image/gif;base64 R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw== , https://thealike.com/blog/dream-girl-pooja-is-returning-after-four-years-what-did-she-call-pathan/
https://thealike.com/,"Monali’s face has changed completely, what is the reason for this sudden change?",by Sahil verma , "February 19/ 2023" , Bollywood , body --> div --> div --> div --> div --> div --> section --> div --> div --> div --> div --> div --> div --> div --> article --> div ,"Like Lakshmi in form, and Saraswati in count. Singer Monali Tagore's form is like a gift from God himself. Along with this, his song's fan base is spread across Asmudra Himachal. But apart from the voice, many people also fall in love with the look of this singer....",  image/gif;base64 R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw== , https://thealike.com/blog/monalis-face-has-changed-completely-what-is-the-reason-for-this-sudden-change/
https://thealike.com/,"People of the heart are involved in the love of strangers?  Keep these 5 important tips in mind" ,by Sahil verma , "February 19/ 2023" , Health, body --> div --> div --> div --> div --> div --> section --> div --> div --> div --> div --> div --> div --> div --> article --> div ,"The relationship of eternal bond like marriage has been broken lately. Many couples now decide to divorce if they disagree on a very minor issue. Most of the couples today do not want to budge even a hair from their position. So many are breaking an important relationship...",  image/gif;base64 R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw== , https://thealike.com/blog/people-of-the-heart-are-involved-in-the-love-of-strangers-keep-these-5-important-tips-in-mind/
https://thealike.com/,"Born on the day of love, but love is not met even if many men come the rose of Madhubala’s love dries up in the grave." , by Sahil verma , "February 19/ 2023" , Bollywood,body --> div --> div --> div --> div --> div --> section --> div --> div --> div --> div --> div --> div --> div --> article --> div,"Shubhdeep Banerdy He was born on the day of love. But her heart was broken again and again, the heroine spent her life crying for love. She is the dreamy Madhubala of Bombay. At the time of her birth the astrologer saw her hands and said This girl...", image/gif;base64 R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw== , https://thealike.com/blog/born-on-the-day-of-love-but-love-is-not-met-even-if-many-men-come-the-rose-of-madhubalas-love-dries-up-in-the-grave/
